iso3,year,internet_users_pct,mobile_subs_per100,broadband_per100,rd_pct_gdp,researchers_per_mn,tertiary_enrol_pct,electricity_rural_pct,gdp_pc_const2015,upper_secondary_pct,oa_ai_ag,oa_ai_all,oa_precision_ag,oa_works_all
ABW,1990,0.0,0.0,,,,,100.0,24763.6538099384,,,,,
ABW,1991,,0.0,,,,,98.3737741616736,25460.3630272927,7.18651008605957,,,,
ABW,1992,,0.028493276,,,,,98.4282597493425,25743.4455010025,,,,,
ABW,1993,,,,,,,98.5017492013514,25870.1533960504,,,,,
ABW,1994,,,,,,,100.0,26581.9767488997,,,,,
ABW,1995,,2.22972096,,,,,100.0,26504.1864180809,,,,,
ABW,1996,2.77,3.777528741,,,,,100.0,25779.5979282247,,,,,
ABW,1997,,4.155977424,,,,,100.0,26547.4166076696,,,,,
ABW,1998,,6.377808073,,,,,100.0,26418.0883302727,,,,,
ABW,1999,4.51,13.81422174,,,,25.6337509155273,100.0,26384.8105935137,,,,,
ABW,2000,15.4428229480349,16.8993138878562,,,,28.3303394317627,100.0,28104.8954362859,16.3950805664062,,,,
ABW,2001,17.1,58.6899950168872,,,,28.8601303100586,100.0,29007.7386958774,,,,,
ABW,2002,18.8,67.6304183674586,,,,28.5816898345947,100.0,28535.4639480222,,,,,
ABW,2003,20.8,75.7794388473621,1.51554544469722,,,30.3779106140137,100.0,28525.8077063839,,,,,
ABW,2004,23.0,105.552873526225,7.46998809178977,,,30.352689743042,100.0,29959.7748189582,,,,,
ABW,2005,25.4,109.74954897591,13.0255757189855,,,36.204231262207,100.0,29081.7066997897,,,,,
ABW,2006,28.0,114.296796377055,14.6270127474002,,,34.2268714904785,100.0,28885.9118700469,,,,,
ABW,2007,30.9,117.599676975162,16.5612349488026,,,34.8968086242676,100.0,29556.8384686554,,,,,
ABW,2008,52.0,123.517202597004,18.8088543530494,,,35.0970611572266,100.0,29870.6648077005,,,,,
ABW,2009,58.0,129.26028780611,18.9851047715223,,,34.4308586120605,100.0,26204.0597361984,,,,,
ABW,2010,62.0,131.649919092235,19.1951175659748,,,36.0625305175781,100.0,25429.2180974853,32.0831718444824,,,,
ABW,2011,69.0,,,,,37.8648109436035,100.0,26093.0542083227,,,,,
ABW,2012,74.0,132.661183337755,,,,38.8641815185547,100.0,25444.7336646687,,,,,
ABW,2013,78.9,135.338052614131,18.7211139062774,,,17.1258697509766,100.0,26680.1411206342,,0.0,0.0,0.0,49.0
ABW,2014,83.78,135.141671422905,18.573515327987,,,17.7518997192383,100.0,26773.8229102391,,0.0,0.0,0.0,40.0
ABW,2015,88.661226932496,135.337479843354,18.2369653689626,,,16.7312393188477,100.0,27458.2201537506,,0.0,0.0,0.0,49.0
ABW,2016,93.542453865048,,,,,17.1416206359863,100.0,27587.2498040483,,0.0,0.0,0.0,59.0
ABW,2017,97.17,,,,,,100.0,28548.8904317739,,,,,
ABW,2018,,,,,,,100.0,29419.208623316,,0.0,0.0,0.0,55.0
ABW,2019,,131.682169673877,17.7444058425791,,,,100.0,29700.3634670565,,0.0,1.0,0.0,0.0
ABW,2020,,131.284916201117,17.6908752327747,,,,100.0,22718.2294445007,,0.0,2.0,0.0,90.0
ABW,2021,,131.09206195727,17.664887781476,,,,100.0,26303.0397202375,,,,,
ABW,2022,,130.647974615427,17.4862221892338,,,,100.0,29198.9903584827,,0.0,2.0,0.0,0.0
ABW,2023,,,,,,,100.0,31963.0764505349,67.8933029174805,0.0,1.0,0.0,0.0
ABW,2024,,,,,,14.0655418559377,100.0,33938.9541769192,,0.0,2.0,0.0,0.0
AFE,1990,,0.0025821426556722,,,,3.19349002838135,,1293.76522236797,,,,,
AFE,1991,,0.0030601295210905,,,,3.32539010047913,,1257.32746247235,,,,,
AFE,1992,,0.0058241644027969,,,,3.44453001022339,,1194.98293940344,,,,,
AFE,1993,,0.0160281568745268,,,,3.58260989189148,,1152.59004074875,,,,,
AFE,1994,,0.117720610098511,,,,3.75828003883362,,1143.91396339554,,,,,
AFE,1995,,0.164300729636764,,,,3.77903008460998,,1163.1260924151,,,,,
AFE,1996,,0.285421858668388,,,,3.79064011573792,,1195.05178683805,,,,,
AFE,1997,,0.537893874347061,,,,3.8187301158905,,1209.72360539762,,,,,
