Area Code,Item,Element,Year,Unit,Value
5000,"Abaca, manila hemp, raw",Area harvested,1961,ha,187036.0
5000,"Abaca, manila hemp, raw",Area harvested,1962,ha,186221.0
5000,"Abaca, manila hemp, raw",Area harvested,1963,ha,215633.0
5000,"Abaca, manila hemp, raw",Area harvested,1964,ha,204074.0
5000,"Abaca, manila hemp, raw",Area harvested,1965,ha,202879.0
5000,"Abaca, manila hemp, raw",Area harvested,1966,ha,203848.0
5000,"Abaca, manila hemp, raw",Area harvested,1967,ha,191873.0
5000,"Abaca, manila hemp, raw",Area harvested,1968,ha,175674.0
5000,"Abaca, manila hemp, raw",Area harvested,1969,ha,178810.0
5000,"Abaca, manila hemp, raw",Area harvested,1970,ha,177202.0
5000,"Abaca, manila hemp, raw",Area harvested,1971,ha,159782.0
5000,"Abaca, manila hemp, raw",Area harvested,1972,ha,150902.0
5000,"Abaca, manila hemp, raw",Area harvested,1973,ha,172225.0
5000,"Abaca, manila hemp, raw",Area harvested,1974,ha,179730.0
5000,"Abaca, manila hemp, raw",Area harvested,1975,ha,190157.0
5000,"Abaca, manila hemp, raw",Area harvested,1976,ha,257118.0
5000,"Abaca, manila hemp, raw",Area harvested,1977,ha,265717.0
5000,"Abaca, manila hemp, raw",Area harvested,1978,ha,260890.0
5000,"Abaca, manila hemp, raw",Area harvested,1979,ha,251780.0
5000,"Abaca, manila hemp, raw",Area harvested,1980,ha,252557.0
5000,"Abaca, manila hemp, raw",Area harvested,1981,ha,246654.0
5000,"Abaca, manila hemp, raw",Area harvested,1982,ha,221724.0
5000,"Abaca, manila hemp, raw",Area harvested,1983,ha,185124.0
5000,"Abaca, manila hemp, raw",Area harvested,1984,ha,194873.0
5000,"Abaca, manila hemp, raw",Area harvested,1985,ha,181197.0
5000,"Abaca, manila hemp, raw",Area harvested,1986,ha,131997.0
5000,"Abaca, manila hemp, raw",Area harvested,1987,ha,134562.0
5000,"Abaca, manila hemp, raw",Area harvested,1988,ha,129290.0
5000,"Abaca, manila hemp, raw",Area harvested,1989,ha,125440.0
5000,"Abaca, manila hemp, raw",Area harvested,1990,ha,123735.0
5000,"Abaca, manila hemp, raw",Area harvested,1991,ha,125246.0
5000,"Abaca, manila hemp, raw",Area harvested,1992,ha,123188.0
5000,"Abaca, manila hemp, raw",Area harvested,1993,ha,122510.0
5000,"Abaca, manila hemp, raw",Area harvested,1994,ha,121094.0
5000,"Abaca, manila hemp, raw",Area harvested,1995,ha,123717.0
5000,"Abaca, manila hemp, raw",Area harvested,1996,ha,135228.0
5000,"Abaca, manila hemp, raw",Area harvested,1997,ha,132415.0
5000,"Abaca, manila hemp, raw",Area harvested,1998,ha,126259.0
5000,"Abaca, manila hemp, raw",Area harvested,1999,ha,131428.0
5000,"Abaca, manila hemp, raw",Area harvested,2000,ha,124329.0
5000,"Abaca, manila hemp, raw",Area harvested,2001,ha,127661.0
5000,"Abaca, manila hemp, raw",Area harvested,2002,ha,142946.0
5000,"Abaca, manila hemp, raw",Area harvested,2003,ha,144484.0
5000,"Abaca, manila hemp, raw",Area harvested,2004,ha,153979.0
5000,"Abaca, manila hemp, raw",Area harvested,2005,ha,161932.0
5000,"Abaca, manila hemp, raw",Area harvested,2006,ha,162409.0
5000,"Abaca, manila hemp, raw",Area harvested,2007,ha,162540.0
5000,"Abaca, manila hemp, raw",Area harvested,2008,ha,164747.0
5000,"Abaca, manila hemp, raw",Area harvested,2009,ha,162399.0
5000,"Abaca, manila hemp, raw",Area harvested,2010,ha,162969.0
5000,"Abaca, manila hemp, raw",Area harvested,2011,ha,168123.0
5000,"Abaca, manila hemp, raw",Area harvested,2012,ha,167903.0
5000,"Abaca, manila hemp, raw",Area harvested,2013,ha,168647.0
5000,"Abaca, manila hemp, raw",Area harvested,2014,ha,165418.0
5000,"Abaca, manila hemp, raw",Area harvested,2015,ha,165195.0
5000,"Abaca, manila hemp, raw",Area harvested,2016,ha,165927.0
5000,"Abaca, manila hemp, raw",Area harvested,2017,ha,164279.0
5000,"Abaca, manila hemp, raw",Area harvested,2018,ha,164718.0
5000,"Abaca, manila hemp, raw",Area harvested,2019,ha,165610.0
5000,"Abaca, manila hemp, raw",Area harvested,2020,ha,164867.0
5000,"Abaca, manila hemp, raw",Area harvested,2021,ha,164246.0
5000,"Abaca, manila hemp, raw",Area harvested,2022,ha,161366.0
5000,"Abaca, manila hemp, raw",Area harvested,2023,ha,162027.0
5000,"Abaca, manila hemp, raw",Area harvested,2024,ha,166345.0
5000,"Abaca, manila hemp, raw",Yield,1961,kg/ha,520.4
5000,"Abaca, manila hemp, raw",Yield,1962,kg/ha,603.3
