year,n_kg_ha,tractors,arable_kha,irrig_equip_kha,agri_land_kha,temp_anom
1961,15.78,71077.0,16246.0,1950.0,33230.0,0.739
1962,16.58,92755.0,16296.0,2034.0,33232.0,0.429
1963,15.98,114410.0,16205.0,2092.0,33137.0,-0.215
1964,17.71,130132.0,15919.0,2144.0,32753.0,0.489
1965,18.68,147884.0,15966.0,2226.0,32694.0,-0.193
1966,23.5,169187.0,15509.0,2275.0,32156.0,0.402
1967,23.33,180717.0,15740.0,2422.0,32382.0,0.143
1968,27.91,204357.0,15692.0,2323.0,32159.0,0.081
1969,29.13,239544.0,16082.0,2425.0,32527.0,-0.307
1970,28.17,259819.0,15690.0,2379.0,32119.0,0.109
1971,31.49,282371.0,16339.0,2625.0,32684.0,-0.761
1972,32.56,306189.0,16288.0,2710.0,32568.0,-0.847
1973,34.72,330459.0,16054.0,2736.0,32280.0,-0.188
1974,34.18,355554.0,15918.0,2783.0,32078.0,-0.459
1975,34.66,379070.0,15821.0,2818.0,31921.0,-0.114
1976,40.19,400928.0,15657.0,2854.0,31516.0,-0.393
1977,38.25,421393.0,15630.0,2893.0,31590.0,-0.185
1978,42.31,455675.0,15640.0,2943.0,31478.0,0.079
1979,44.24,491595.0,15578.0,2997.0,31355.0,0.255
1980,44.0,523907.0,15558.0,3029.0,31238.0,0.157
1981,39.94,548080.0,15569.0,3058.0,31206.0,0.327
1982,39.0,571174.0,15565.0,3123.0,31191.0,0.695
1983,39.42,592010.0,15592.0,3133.0,30791.0,0.542
1984,44.7,611433.0,15651.0,3215.0,30628.0,-0.176
1985,47.1,633210.0,15564.0,3217.0,30712.0,0.467
1986,52.03,657826.0,15565.0,3261.0,30610.0,0.248
1987,56.29,678680.0,15584.0,3316.0,30601.0,0.709
1988,57.36,701928.0,15577.0,3345.0,30578.0,0.783
1989,54.59,722661.0,15512.0,3371.0,30701.0,1.032
1990,52.7,740830.0,15335.0,3402.0,30472.0,1.445
1991,49.71,755743.0,15258.0,3388.0,30371.0,0.203
1992,40.99,766267.0,15201.0,3403.0,30279.0,0.294
1993,47.28,775297.0,14982.0,3453.0,30033.0,-0.063
1994,50.39,789747.0,14806.0,3657.0,30183.0,1.019
1995,48.67,805593.0,14045.0,3527.0,29719.0,1.413
1996,60.23,823609.0,14450.0,3603.0,30139.0,0.689
1997,54.67,841932.0,14285.0,3634.0,30059.0,1.506
1998,64.75,862140.0,13684.0,3652.0,29958.0,1.162
1999,64.44,881977.0,13463.0,3694.0,29778.0,0.781
2000,60.84,899700.0,13400.0,3735.0,29766.0,0.778
2001,61.56,925688.0,13064.0,3727.0,29520.0,1.369
2002,57.39,946053.0,12909.0,3780.0,29419.0,0.782
2003,66.66,943653.0,13017.0,3772.0,29153.0,1.566
2004,59.75,966598.0,13025.0,3803.0,29071.0,0.959
2005,51.77,980808.0,12913.0,3858.0,29164.0,0.84
2006,55.17,1000222.0,12720.0,3840.0,28613.0,1.474
2007,56.67,1016043.0,12586.0,3815.0,28004.0,0.791
2008,42.83,1030440.0,12488.0,3818.0,28142.0,0.818
2009,45.37,1038726.0,12497.0,3645.0,27970.0,1.3
2010,54.65,,12528.0,3660.0,27545.0,0.864
2011,49.83,,12429.0,3675.0,27014.0,1.571
2012,48.09,,12570.0,3923.0,26942.0,0.999
2013,56.12,,12181.0,3923.0,26733.2,0.874
2014,64.11,,12278.0,3923.0,26578.0,1.575
2015,62.14,,12278.22,3923.0,26576.5,1.49
2016,57.66,,12337.18,3923.0,26265.7,1.681
2017,63.54,,12253.767,3923.0,26295.53,2.003
2018,61.63,,11884.2519,3923.0,26183.3239,1.109
2019,60.34,,11812.3146,3923.0,26206.6906,1.48
2020,63.64,,11639.3981,3759.3983,26142.6381,2.018
2021,62.0,,11550.0534,3759.3983,26228.4464,1.356
2022,44.35,,11690.5583,3759.3983,26663.3633,2.401
2023,46.55,,11496.755,3759.3983,24772.662,2.565
2024,,,,,,2.283
2025,,,,,,2.303
