year,n_total_t_world
1961,11485565.0
1962,12969151.0
1963,14632082.0
1964,16387366.0
1965,18889858.0
1966,21968322.0
1967,23979868.0
1968,26194515.0
1969,28317372.0
1970,31567707.0
1971,33580753.0
1972,36072907.0
1973,38953489.0
1974,38583437.0
1975,43876599.0
1976,45188000.0
1977,49272361.0
1978,54028146.0
1979,57017977.0
1980,60628531.0
1981,60736635.0
1982,61726815.0
1983,66526375.0
1984,70712776.0
1985,70673258.0
1986,72543763.0
1987,75716490.0
1988,79516444.0
1989,78712485.0
1990,77107922.0
1991,75469429.0
1992,74309286.0
1993,72613884.0
1994,73073606.0
1995,78650021.0
1996,83162717.0
1997,81321409.0
1998,82784555.0
1999,84970348.0
2000,81024184.0
2001,82001271.0
2002,84408263.0
2003,87165219.0
2004,89476153.0
2005,90104054.0
2006,93011642.0
2007,96321111.0
2008,94641374.0
2009,97161613.0
2010,101330169.0
2011,105005689.0
2012,105115444.0
2013,106872087.0
2014,107980194.0
2015,106655030.0
2016,107727517.0
2017,109943509.0
2018,108762164.0
2019,108416230.0
2020,114784586.0
2021,113271073.0
2022,109445980.0
2023,111591721.0
