Area Code,Item,Element,Year,Unit,Value
5000,"Abaca, manila hemp, raw",Production,1961,t,97340.0
5000,"Abaca, manila hemp, raw",Production,1962,t,112345.0
5000,"Abaca, manila hemp, raw",Production,1963,t,140265.0
5000,"Abaca, manila hemp, raw",Production,1964,t,123970.0
5000,"Abaca, manila hemp, raw",Production,1965,t,112814.0
5000,"Abaca, manila hemp, raw",Production,1966,t,142581.0
5000,"Abaca, manila hemp, raw",Production,1967,t,125049.0
5000,"Abaca, manila hemp, raw",Production,1968,t,111569.0
5000,"Abaca, manila hemp, raw",Production,1969,t,113801.0
5000,"Abaca, manila hemp, raw",Production,1970,t,128423.0
5000,"Abaca, manila hemp, raw",Production,1971,t,111561.0
5000,"Abaca, manila hemp, raw",Production,1972,t,117229.0
5000,"Abaca, manila hemp, raw",Production,1973,t,128233.0
5000,"Abaca, manila hemp, raw",Production,1974,t,137328.0
5000,"Abaca, manila hemp, raw",Production,1975,t,145656.0
5000,"Abaca, manila hemp, raw",Production,1976,t,154869.0
5000,"Abaca, manila hemp, raw",Production,1977,t,168809.0
5000,"Abaca, manila hemp, raw",Production,1978,t,142122.0
5000,"Abaca, manila hemp, raw",Production,1979,t,160746.0
5000,"Abaca, manila hemp, raw",Production,1980,t,169966.0
5000,"Abaca, manila hemp, raw",Production,1981,t,139339.0
5000,"Abaca, manila hemp, raw",Production,1982,t,128697.0
5000,"Abaca, manila hemp, raw",Production,1983,t,98822.0
5000,"Abaca, manila hemp, raw",Production,1984,t,109262.0
5000,"Abaca, manila hemp, raw",Production,1985,t,94006.0
5000,"Abaca, manila hemp, raw",Production,1986,t,92314.0
5000,"Abaca, manila hemp, raw",Production,1987,t,99901.0
5000,"Abaca, manila hemp, raw",Production,1988,t,108129.0
5000,"Abaca, manila hemp, raw",Production,1989,t,81955.0
5000,"Abaca, manila hemp, raw",Production,1990,t,78590.0
5000,"Abaca, manila hemp, raw",Production,1991,t,82566.86
5000,"Abaca, manila hemp, raw",Production,1992,t,85395.98
5000,"Abaca, manila hemp, raw",Production,1993,t,81828.0
5000,"Abaca, manila hemp, raw",Production,1994,t,84270.63
5000,"Abaca, manila hemp, raw",Production,1995,t,85100.01
5000,"Abaca, manila hemp, raw",Production,1996,t,94509.46
5000,"Abaca, manila hemp, raw",Production,1997,t,92722.1
5000,"Abaca, manila hemp, raw",Production,1998,t,97470.88
5000,"Abaca, manila hemp, raw",Production,1999,t,99854.98
5000,"Abaca, manila hemp, raw",Production,2000,t,95655.33
5000,"Abaca, manila hemp, raw",Production,2001,t,100048.39
5000,"Abaca, manila hemp, raw",Production,2002,t,91196.98
5000,"Abaca, manila hemp, raw",Production,2003,t,99922.37
5000,"Abaca, manila hemp, raw",Production,2004,t,107279.49
5000,"Abaca, manila hemp, raw",Production,2005,t,105310.82
5000,"Abaca, manila hemp, raw",Production,2006,t,99927.71
5000,"Abaca, manila hemp, raw",Production,2007,t,100502.54
5000,"Abaca, manila hemp, raw",Production,2008,t,102395.86
5000,"Abaca, manila hemp, raw",Production,2009,t,100117.42
5000,"Abaca, manila hemp, raw",Production,2010,t,101642.79
5000,"Abaca, manila hemp, raw",Production,2011,t,104666.09
5000,"Abaca, manila hemp, raw",Production,2012,t,104783.93
5000,"Abaca, manila hemp, raw",Production,2013,t,102062.1
5000,"Abaca, manila hemp, raw",Production,2014,t,106432.67
5000,"Abaca, manila hemp, raw",Production,2015,t,109874.78
5000,"Abaca, manila hemp, raw",Production,2016,t,110251.87
5000,"Abaca, manila hemp, raw",Production,2017,t,108631.06
5000,"Abaca, manila hemp, raw",Production,2018,t,110801.8
5000,"Abaca, manila hemp, raw",Production,2019,t,113057.53
5000,"Abaca, manila hemp, raw",Production,2020,t,110896.77
5000,"Abaca, manila hemp, raw",Production,2021,t,102405.99
5000,"Abaca, manila hemp, raw",Production,2022,t,108074.9
5000,"Abaca, manila hemp, raw",Production,2023,t,107128.96
5000,"Abaca, manila hemp, raw",Production,2024,t,108560.75
5000,"Agave fibres, raw, n.e.c.",Production,1961,t,34600.0
5000,"Agave fibres, raw, n.e.c.",Production,1962,t,32950.0
5000,"Agave fibres, raw, n.e.c.",Production,1963,t,35000.0
5000,"Agave fibres, raw, n.e.c.",Production,1964,t,35124.0
5000,"Agave fibres, raw, n.e.c.",Production,1965,t,35721.0
5000,"Agave fibres, raw, n.e.c.",Production,1966,t,36562.0
5000,"Agave fibres, raw, n.e.c.",Production,1967,t,38548.0
5000,"Agave fibres, raw, n.e.c.",Production,1968,t,39648.0
5000,"Agave fibres, raw, n.e.c.",Production,1969,t,39436.0
5000,"Agave fibres, raw, n.e.c.",Production,1970,t,40703.0
5000,"Agave fibres, raw, n.e.c.",Production,1971,t,41831.0
5000,"Agave fibres, raw, n.e.c.",Production,1972,t,45181.0
5000,"Agave fibres, raw, n.e.c.",Production,1973,t,49018.0
5000,"Agave fibres, raw, n.e.c.",Production,1974,t,53000.0
5000,"Agave fibres, raw, n.e.c.",Production,1975,t,69731.0
5000,"Agave fibres, raw, n.e.c.",Production,1976,t,62790.0
5000,"Agave fibres, raw, n.e.c.",Production,1977,t,65344.0
5000,"Agave fibres, raw, n.e.c.",Production,1978,t,62365.0
5000,"Agave fibres, raw, n.e.c.",Production,1979,t,62951.0
5000,"Agave fibres, raw, n.e.c.",Production,1980,t,69684.0
5000,"Agave fibres, raw, n.e.c.",Production,1981,t,63213.0
5000,"Agave fibres, raw, n.e.c.",Production,1982,t,65416.0
5000,"Agave fibres, raw, n.e.c.",Production,1983,t,65092.0
5000,"Agave fibres, raw, n.e.c.",Production,1984,t,56571.0
5000,"Agave fibres, raw, n.e.c.",Production,1985,t,55123.0
5000,"Agave fibres, raw, n.e.c.",Production,1986,t,56844.0
5000,"Agave fibres, raw, n.e.c.",Production,1987,t,58814.0
5000,"Agave fibres, raw, n.e.c.",Production,1988,t,58253.0
5000,"Agave fibres, raw, n.e.c.",Production,1989,t,65407.0
5000,"Agave fibres, raw, n.e.c.",Production,1990,t,58904.0
5000,"Agave fibres, raw, n.e.c.",Production,1991,t,78452.47
5000,"Agave fibres, raw, n.e.c.",Production,1992,t,59082.98
5000,"Agave fibres, raw, n.e.c.",Production,1993,t,64868.44
5000,"Agave fibres, raw, n.e.c.",Production,1994,t,64786.81
5000,"Agave fibres, raw, n.e.c.",Production,1995,t,56965.18
5000,"Agave fibres, raw, n.e.c.",Production,1996,t,66320.53
5000,"Agave fibres, raw, n.e.c.",Production,1997,t,68453.52
5000,"Agave fibres, raw, n.e.c.",Production,1998,t,54970.49
5000,"Agave fibres, raw, n.e.c.",Production,1999,t,51594.72
5000,"Agave fibres, raw, n.e.c.",Production,2000,t,50163.2
5000,"Agave fibres, raw, n.e.c.",Production,2001,t,48668.51
5000,"Agave fibres, raw, n.e.c.",Production,2002,t,49854.51
5000,"Agave fibres, raw, n.e.c.",Production,2003,t,50062.68
5000,"Agave fibres, raw, n.e.c.",Production,2004,t,53301.95
5000,"Agave fibres, raw, n.e.c.",Production,2005,t,51980.35
5000,"Agave fibres, raw, n.e.c.",Production,2006,t,48914.46
5000,"Agave fibres, raw, n.e.c.",Production,2007,t,48225.26
5000,"Agave fibres, raw, n.e.c.",Production,2008,t,46866.91
5000,"Agave fibres, raw, n.e.c.",Production,2009,t,45847.37
5000,"Agave fibres, raw, n.e.c.",Production,2010,t,44703.26
5000,"Agave fibres, raw, n.e.c.",Production,2011,t,43753.07
5000,"Agave fibres, raw, n.e.c.",Production,2012,t,40965.0
5000,"Agave fibres, raw, n.e.c.",Production,2013,t,41465.0
5000,"Agave fibres, raw, n.e.c.",Production,2014,t,41587.63
5000,"Agave fibres, raw, n.e.c.",Production,2015,t,40796.56
5000,"Agave fibres, raw, n.e.c.",Production,2016,t,40518.97
5000,"Agave fibres, raw, n.e.c.",Production,2017,t,39984.83
5000,"Agave fibres, raw, n.e.c.",Production,2018,t,40476.62
5000,"Agave fibres, raw, n.e.c.",Production,2019,t,39590.24
5000,"Agave fibres, raw, n.e.c.",Production,2020,t,39868.12
5000,"Agave fibres, raw, n.e.c.",Production,2021,t,40118.46
5000,"Agave fibres, raw, n.e.c.",Production,2022,t,39972.23
5000,"Agave fibres, raw, n.e.c.",Production,2023,t,40074.35
5000,"Agave fibres, raw, n.e.c.",Production,2024,t,40094.46
5000,"Almonds, in shell",Production,1961,t,756588.0
5000,"Almonds, in shell",Production,1962,t,436538.0
5000,"Almonds, in shell",Production,1963,t,577518.0
5000,"Almonds, in shell",Production,1964,t,631599.0
5000,"Almonds, in shell",Production,1965,t,605077.0
5000,"Almonds, in shell",Production,1966,t,606315.0
5000,"Almonds, in shell",Production,1967,t,719378.0
5000,"Almonds, in shell",Production,1968,t,709540.0
5000,"Almonds, in shell",Production,1969,t,566655.0
5000,"Almonds, in shell",Production,1970,t,676749.0
5000,"Almonds, in shell",Production,1971,t,580612.0
5000,"Almonds, in shell",Production,1972,t,700004.0
5000,"Almonds, in shell",Production,1973,t,621331.0
5000,"Almonds, in shell",Production,1974,t,855554.0
5000,"Almonds, in shell",Production,1975,t,752361.0
5000,"Almonds, in shell",Production,1976,t,930057.0
5000,"Almonds, in shell",Production,1977,t,812282.0
5000,"Almonds, in shell",Production,1978,t,904525.0
5000,"Almonds, in shell",Production,1979,t,833748.0
5000,"Almonds, in shell",Production,1980,t,919655.0
5000,"Almonds, in shell",Production,1981,t,1231227.0
5000,"Almonds, in shell",Production,1982,t,1045648.0
5000,"Almonds, in shell",Production,1983,t,846642.0
5000,"Almonds, in shell",Production,1984,t,1165867.0
5000,"Almonds, in shell",Production,1985,t,1145592.0
5000,"Almonds, in shell",Production,1986,t,976832.0
5000,"Almonds, in shell",Production,1987,t,1251975.0
5000,"Almonds, in shell",Production,1988,t,1141283.0
5000,"Almonds, in shell",Production,1989,t,1273584.0
5000,"Almonds, in shell",Production,1990,t,1315419.0
5000,"Almonds, in shell",Production,1991,t,1287290.53
5000,"Almonds, in shell",Production,1992,t,1318115.83
5000,"Almonds, in shell",Production,1993,t,1275181.77
