year,temp_anom_world
1961,0.206
1962,0.032
1963,0.174
1964,-0.251
1965,-0.25
1966,0.187
1967,-0.129
1968,-0.1
1969,-0.091
1970,0.161
1971,-0.089
1972,-0.264
1973,0.271
1974,-0.209
1975,0.093
1976,-0.299
1977,0.303
1978,-0.023
1979,0.201
1980,0.352
1981,0.482
1982,0.044
1983,0.451
1984,0.126
1985,-0.048
1986,0.223
1987,0.432
1988,0.578
1989,0.314
1990,0.615
1991,0.462
1992,0.18
1993,0.341
1994,0.501
1995,0.83
1996,0.335
1997,0.646
1998,1.054
1999,0.821
2000,0.748
2001,0.852
2002,0.994
2003,0.906
2004,0.894
2005,1.105
2006,1.053
2007,1.194
2008,0.919
2009,0.931
2010,1.284
2011,0.93
2012,1.105
2013,1.012
2014,1.007
2015,1.398
2016,1.682
2017,1.421
2018,1.242
2019,1.43
2020,1.664
2021,1.474
2022,1.381
2023,1.77
2024,2.107
2025,1.879
